Name,Global_Region,Country,Full_Or_Age_Disagg_Data,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Raw_Age_Group,,
Peyerl-Hoffman (2001),West Africa,Uganda,2,1,1,406,225,0.554187,406,140,0.344828,Old,All Ages,Children&Adults,,
Cerutti (2007),South America,Brazil,2,NA,NA,1527,10,0.006549,1777,0.00,0.000000,Old,All Ages,Children&Adults,,
Dent (2007),West Africa,Kenya,2,1,1,201,141,0.701493,201,117,0.582090,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,203,71,0.349754,203,45,0.221675,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,153,76,0.496732,153,45,0.294118,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,133,65,0.488722,133,41,0.308271,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,145,72,0.496552,145,31,0.213793,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,172,101,0.587209,172,58,0.337209,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,174,91,0.522989,174,57,0.327586,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,163,82,0.503067,163,38,0.233129,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,174,102,0.586207,174,49,0.281609,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,184,88,0.478261,184,61,0.331522,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,166,101,0.608434,166,48,0.289157,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,174,95,0.545977,174,57,0.327586,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,175,117,0.668571,175,75,0.428571,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,188,148,0.787234,188,85,0.452128,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,148,83,0.560811,148,23,0.155405,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,2,NA,NA,175,95,0.542857,175,43,0.245714,Old,All Ages,Children&Adults,,
Mueller (2009),Oceania,Papua New Guinea,0,NA,NA,426,135,0.316901,426,73,0.171362,Old,0-5,0-5,,
Mueller (2009),Oceania,Papua New Guinea,0,NA,NA,237,170,0.717300,237,107,0.451477,Old,5-15years,5-15years,,
Mueller (2009),Oceania,Papua New Guinea,0,NA,NA,937,559,0.596585,937,202,0.215582,Old,15+,15+,,
Andrade (2009),South America,Brazil,2,NA,NA,233,8,0.034335,275,4,0.014545,Old,All Ages,Children&Adults,,
Andrade (2009),South America,Brazil,2,NA,NA,277,20,0.072202,286,2,0.006993,Old,All Ages,Children&Adults,,
Andrade (2009),South America,Brazil,2,NA,NA,47,5,0.106383,47,1,0.021277,Old,All Ages,Children&Adults,,
Andrade (2009),South America,Brazil,2,NA,NA,320,11,0.034375,321,4,0.012461,Old,All Ages,Children&Adults,,
Andrade (2009),South America,Brazil,2,NA,NA,165,1,0.006061,166,0,0.000000,Old,All Ages,Children&Adults,,
Rosanas-Urgell (2010),Oceania,Papua New Guinea,2,NA,NA,452,198,0.438053,452,115,0.254425,Old,0-5,children only,,
Satoguina (2009),West Africa,Gambia,2,0,1,841,219,0.260404,934,97,0.103854,Old,All Ages,Children&Adults,,
Satoguina (2009),West Africa,Gambia,2,0,1,689,185,0.268505,729,82,0.112483,Old,All Ages,Children&Adults,,
Satoguina (2009),West Africa,Guinea Bissau,2,0,1,818,194,0.237164,834,33,0.039568,Old,All Ages,Children&Adults,,
Satoguina (2009),West Africa,Gambia,0,0,1,510,101,0.198039,510,44,0.086275,Old,0-5,0-5,,
Satoguina (2009),West Africa,Gambia,0,0,1,881,265,0.300795,881,117,0.132804,Old,5-15years,5-15years,,
Satoguina (2009),West Africa,Guinea Bissau,0,0,1,1188,294,0.247475,1188,74,0.062290,Old,15+,15+,,
Lin (2010),Oceania,Papua New Guinea,2,NA,NA,264,131,0.496212,264,86,0.325758,Old,0-5,0-5,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,204,136,0.666667,204,75,0.367647,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,205,115,0.560976,205,68,0.331707,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,209,126,0.602871,209,48,0.229665,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,202,119,0.589109,202,53,0.262376,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,141,55,0.390071,141,20,0.141844,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,143,88,0.615385,143,49,0.342657,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,118,80,0.677966,118,31,0.262712,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,2,NA,NA,134,87,0.649254,134,38,0.283582,Old,All Ages,Children&Adults,,
Steenkeste (2010),Asia,Cambodia,0,NA,NA,266,153,0.575188,266,107,0.402256,Old,0-5,0-5,,
Steenkeste (2010),Asia,Cambodia,0,NA,NA,134,98,0.731343,134,45,0.335821,Old,5-15years,5-15years,,
Steenkeste (2010),Asia,Cambodia,0,NA,NA,694,343,0.494236,694,102,0.146974,Old,15+,15+,,
Katsuragawa (2010),South America,Brazil,2,NA,NA,205,4,0.019512,205,1,0.004878,Old,All Ages,Children&Adults,,
da Silva (2010),South America,Brazil,2,NA,NA,386,35,0.090674,388,6,0.015464,Old,All Ages,Children&Adults,,
da Silva (2010),South America,Brazil,2,NA,NA,379,33,0.087071,378,6,0.015873,Old,All Ages,Children&Adults,,
da Silva (2010),South America,Brazil,2,NA,NA,328,22,0.067073,329,0,0.000000,Old,All Ages,Children&Adults,,
da Silva (2010),South America,Brazil,2,NA,NA,334,8,0.023952,351,1,0.002849,Old,All Ages,Children&Adults,,
Marfurt (2010),Oceania,Papua New Guinea,2,NA,NA,263,102,0.387833,258,34,0.131783,Old,All Ages,Children&Adults,,
Marfurt (2010),Oceania,Papua New Guinea,2,NA,NA,347,71,0.204611,346,64,0.184971,Old,All Ages,Children&Adults,,
Marfurt (2010),Oceania,Papua New Guinea,2,NA,NA,359,131,0.364903,358,82,0.229050,Old,All Ages,Children&Adults,,
Marfurt (2010),Oceania,Papua New Guinea,2,NA,NA,317,129,0.406940,314,55,0.175159,Old,All Ages,Children&Adults,,
Marfurt (2010),Oceania,Papua New Guinea,2,NA,NA,366,147,0.401639,356,96,0.269663,Old,All Ages,Children&Adults,,
Marfurt (2010),Oceania,Papua New Guinea,2,NA,NA,359,115,0.320334,358,82,0.229050,Old,All Ages,Children&Adults,,
Pacific Malaria Initiative Survey Group (2010),Oceania,Vanuatu,2,NA,NA,413,2,0.004843,413,0,0.000000,Old,All Ages,children only,,
Liljander (2011),East Africa,Kenya,2,0,1,337,263,0.780415,337,243,0.721068,Old,All Ages,children only,,
Liljander (2011),East Africa,Kenya,2,0,1,360,212,0.588889,360,174,0.483333,Old,All Ages,children only,,
Gahutu (2011),East Africa,Rwanda,2,0,0,545,92,0.168807,545,61,0.111927,Old,0-5,children only 0- 5,,
Steenkeste (2009),Asia,Cambodia,2,NA,NA,102,73,0.715686,102,59,0.578431,Old,All Ages,Children&Adults,,
Steenkeste (2009),Asia,Cambodia,2,NA,NA,235,142,0.604255,235,77,0.327660,Old,All Ages,Children&Adults,,
