Name,Global_Region,Country,Full_Or_Age_Disagg_Data,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Raw_Age_Group,,
,East Africa,Malawi,0,0,1,328,42,0.128049,328,36,0.109756,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,325,24,0.073846,326,14,0.042945,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,382,41,0.107330,381,24,0.062992,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,413,27,0.065375,422,13,0.030806,New,5-15years,5-15years,,
,East Africa,Malawi,0,1,1,362,27,0.074586,353,6,0.016997,New,15+,15+,,
,East Africa,Malawi,0,1,1,419,15,0.035800,417,4,0.009592,New,15+,15+,,
,East Africa,Malawi,0,0,1,433,33,0.076212,434,19,0.043779,New,15+,15+,,
,East Africa,Malawi,0,0,1,445,36,0.080899,445,13,0.029213,New,15+,15+,,
,East Africa,Malawi,0,0,1,436,17,0.038991,444,6,0.013514,New,15+,15+,,
,East Africa,Malawi,0,1,1,183,37,0.202186,177,27,0.152542,New,0-5,0-5,,
,East Africa,Malawi,0,1,1,192,26,0.135417,190,20,0.105263,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,219,47,0.214612,219,36,0.164384,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,229,22,0.096070,229,22,0.096070,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,221,69,0.312217,221,43,0.194570,New,0-5,0-5,,
,East Africa,Malawi,0,0,1,220,35,0.159091,220,29,0.131818,New,0-5,0-5,,
,East Africa,Malawi,0,1,1,298,114,0.382550,283,79,0.279152,New,5-15years,5-15years,,
,East Africa,Malawi,0,1,1,372,117,0.314516,349,60,0.171920,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,400,178,0.445000,401,141,0.351621,New,5-15years,5-15years,,
,East Africa,Malawi,0,0,1,372,106,0.284946,372,76,0.204301,New,5-15years,5-15years,,
