n,Global_Region,Country,Full_Or_Age_Disagg_Data,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,Rainy_Or_Dry,Notes on rainy/dry,"(for old papers, admin unit 1)"
Ganguly,Asia,India,2,N,,,224,27,0.120535714,224,25,0.11160714,New,,,,,dry,end of dry season,
,Asia,India,2,N,,,275,24,0.087272727,275,16,0.05818182,New,,,,,dry,,
,Asia,India,2,N,,,225,25,0.111111111,225,23,0.10222222,New,,,,,dry,,
,Asia,India,2,N,,,239,2,0.008368201,239,2,0.0083682,New,,,,,dry,,
,Asia,India,2,N,,,963,78,0.080996885,963,66,0.06853583,New,,,,,dry,,
Mara,West Africa,Ivory Coast,2,N,1,1,292,241,0.825342466,292,230,0.78767123,New,0-15,5-15years,7-15 year old children,,,,
Koukouikila-Koussounda,West Africa,Republic of Congo,2,N,0,1,137,12,0.087591241,137,5,0.03649635,New,0-15,0-5,1-3years,,,,
,West Africa,Republic of Congo,2,N,0,1,96,18,0.1875,96,11,0.11458333,New,0-15,,4-6years,,,,
,West Africa,Republic of Congo,2,N,0,1,80,21,0.2625,80,11,0.1375,New,0-15,5-15years,7-10years,,,,
Cook,Asia,Republic of Yemen,2,N,,,2181,430,0.197157267,2220,237,0.10675676,New,0-15,,,,,,
Waltmann,Oceania,Solomon Islands,2,N,,,3501,5,0.001428163,3501,4,0.00114253,New,0-15,0-5,1-3years,,rainy,,
Rosas-Aguirre,South America,Peru,2,N,,,651,35,0.053763441,651,10,0.01536098,New,,,0-7 and randomly selected individuals > 7 years old,,rainy,,
Koepfli,Asia,Papua New Guinea,2,N,,,1019,283,0.277723258,1019,195,0.19136408,New,0-15,0-5,1-3years,,,,
Proietti,East Africa,Uganda,2,N,1,1,240,130,0.541666667,249,105,0.42168675,New,0-15,0-5,0-5,,,,
,East Africa,Uganda,2,N,1,1,122,103,0.844262295,126,74,0.58730159,New,0-15,5-15years,6-10years,,,,
,East Africa,Uganda,2,N,1,1,128,48,0.375,134,15,0.1119403,New,15+,15+,20+,,,,
Ngane,West Africa,Angola,2,N,0,1,386,80,0.207253886,386,61,0.15803109,New,0-15,,0-15,,,,
Lo,East Africa,Kenya,2,N,0,1,201,130,0.646766169,201,117,0.58208955,New,0-18,3-18years,3-18years,CHECK HOW MANY 18 YEAR OLDS ON AVERAGE- CAN I INCLUDE THEM WITH KIDS?,,,
,East Africa,Kenya,2,N,,,201,28,0.139303483,201,4,0.0199005,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,0,250,7,0.028,250,1,0.004,New,0-18,3-18years,3-18years,,,,
,East Africa,Kenya,2,N,0,1,234,91,0.388888889,234,34,0.14529915,New,0-18,3-18years,3-18years,,,,
