n,Global_Region,Country,Full_Or_Age_Disagg_Data,Was_Initially_Zero?,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Age_Group_2,Age_Group_Raw,Age Group Notes,Rainy_Or_Dry,Notes on rainy/dry,"(for old papers, admin unit 1)"
,East Africa,Malawi,2,N,0,1,167,11,0.065868263,167,6,0.03592814,New,0-15,0-5,0-5,,dry,,
,East Africa,Malawi,2,N,1,1,215,63,0.293023256,207,44,0.21256039,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,1,1,306,63,0.205882353,302,28,0.09271523,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,0,1,375,93,0.248,385,69,0.17922078,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,0,1,369,54,0.146341463,369,29,0.07859079,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,0,1,355,68,0.191549296,355,40,0.11267606,New,0-15,5-15years,5-15years,,rainy,,
,East Africa,Malawi,2,N,0,1,420,64,0.152380952,420,39,0.09285714,New,0-15,5-15years,5-15years,,dry,,
,East Africa,Malawi,2,N,1,1,398,44,0.110552764,388,30,0.07731959,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,1,1,472,27,0.05720339,468,10,0.02136752,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,0,1,465,43,0.092473118,479,21,0.04384134,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,0,1,455,15,0.032967033,454,4,0.00881057,New,0-15,15+,15+,,dry,,
,East Africa,Malawi,2,N,0,1,444,64,0.144144144,444,35,0.07882883,New,0-15,15+,15+,,rainy,,
,East Africa,Malawi,2,N,0,1,443,29,0.065462754,443,12,0.02708804,New,0-15,15+,15+,,dry,,
Vafa (2007),West Africa,Mali,2,N,1,1,212,85,0.400943396,212,34,0.16037736,Old,,,children & adults,,,,Mopti
Vafa (2007),West Africa,Mali,2,N,1,1,214,66,0.308411215,214,32,0.14953271,Old,,,children & adults,,,,Mopti
Roper (1996),East Africa,Sudan,2,N,0,0,79,10,0.126582278,79,2,0.02531646,Old,,,children & adults,,,,Gadaref
Roper (1996),East Africa,Sudan,2,N,0,0,79,15,0.189873418,79,4,0.05063291,Old,,,children & adults,,,,Gadaref
Roper (1996),East Africa,Sudan,2,N,0,0,79,19,0.240506329,79,8,0.10126582,Old,,,children & adults,,,,Gadaref
Roper (1996),East Africa,Sudan,2,Y,0,0,73,14,0.191780822,73,0,0,Old,,,children & adults,,,,Gadaref
John (2005),East Africa,Kenya,1,N,1,1,123,13,0.105691057,123,10,0.08130081,Old,,,children & adults,,,,Nyanza
John (2005),East Africa,Kenya,1,N,1,1,267,25,0.093632959,267,17,0.06367041,Old,,,children & adults,,,,Nyanza
John (2005),East Africa,Kenya,1,N,1,1,273,16,0.058608059,273,8,0.02930403,Old,,,children & adults,,,,Nyanza
John (2005),East Africa,Kenya,1,N,1,1,152,9,0.059210526,152,2,0.01315789,Old,,,children & adults,,,,Nyanza
John (2005),East Africa,Kenya,1,N,1,1,228,33,0.144736842,228,18,0.07894737,Old,,,children & adults,,,,Nyanza
John (2005),East Africa,Kenya,0,N,1,1,48,4,0.083333333,48,1,0.020833333,Old,0-15,0-5,0-5years,,,,AGE DISAGGREGATED- NOT SURE WHETHER TO INCLUDE THIS AS WELL AS THE NON AGE-DISAGGREGATED DATA ABOVE FROM SAME PAPER
John (2005),East Africa,Kenya,0,N,1,1,54,9,0.166666667,54,4,0.074074074,Old,0-15,0-5,0-5years,,,,
John (2005),East Africa,Kenya,0,N,1,1,71,3,0.042253521,71,2,0.028169014,Old,0-15,5-15years,5-15years,,,,
John (2005),East Africa,Kenya,0,N,1,1,63,9,0.142857143,63,9,0.142857143,Old,0-15,5-15years,5-15years,,,,
John (2005),East Africa,Kenya,0,N,1,1,154,9,0.058441558,154,4,0.025974026,Old,15+,15+,15+,,,,
John (2005),East Africa,Kenya,0,N,1,1,111,15,0.135135135,111,5,0.045045045,Old,15+,15+,15+,,,,
Ofulla (2005),East Africa,Kenya,1,,1,1,301,251,0.833887043,301,220,0.73089701,Old,,,children & adults,,,,
Ofulla (2005),East Africa,Kenya,0,N,1,1,53,47,0.886792453,53,46,0.867924528,Old,0-15,0-5,0-5,,,,
Ofulla (2005),East Africa,Kenya,0,N,1,1,90,86,0.955555556,90,82,0.911111111,Old,0-15,5-15years,5-15years,,,,
Ofulla (2005),East Africa,Kenya,0,N,1,1,158,118,0.746835443,158,92,0.582278481,Old,15+,15+,15+,,,,Nyanza
Stich (2006),West Africa,Burkina Faso,2,N,1,1,201,185,0.92039801,201,162,0.80597015,Old,,,children & adults,,,,Boucle Du Mouhoun
Alves (2002),South America,Brazil,1,N,,,164,16,0.097560976,175,4,0.02285714,Old,,,children & adults,,,,
Alves (2002),South America,Brazil,1,N,,,142,25,0.176056338,142,2,0.01408451,Old,,,children & adults,,,,
Alves (2002),South America,Brazil,1,Y,,,125,2,0.016,125,0,0,Old,,,children & adults,,,,
Alves (2002),South America,Brazil,1,N,,,128,58,0.453125,172,10,0.05813953,Old,,,children & adults,,,,
Alves (2002),South America,Brazil,0,N,,,63,1,0.453125,63,0,0.05813953,Old,0-15,0-5,0-5,,,,
Alves (2002),South America,Brazil,0,N,,,137,7,0.453125,137,0,0.05813953,Old,15+,15+,15+,,,,
Muller (2001),West Africa,Sao Tome & Principe,2,N,,,491,321,0.653767821,491,194,0.39511202,Old,,,children & adults,,,,
Alves (2006),West Africa,Republic of Cabo Verde,2,Y,,,338,3,0.00887574,338,0,0,Old,,,children & adults,,,,
Alves (2006),West Africa,Republic of Cabo Verde,2,Y,,,261,10,0.038314176,261,0,0,Old,,,children & adults,,,,
Cortes (2004),Oceania,Papua New Guinea,1,N,,,628,330,0.525477707,628,175,0.27866242,Old,,,children & adults,,,,
Cortes (2004),Oceania,Papua New Guinea,0,N,,,51,21,0.525477707,51,15,0.27866242,Old,0-15,0-5,0-5,,,,
Cortes (2004),Oceania,Papua New Guinea,0,N,,,258,119,0.525477707,258,48,0.27866242,Old,15+,15+,15+,,,,
Roshanravan (2003),South America,Peru,2,N,,,819,28,0.034188034,819,12,0.01465201,Old,,,children & adults,,,,
Zwetyenga  (1998),West Africa,Senegal,1,N,1,1,143,110,0.769230769,143,52,0.36363636,Old,,,children & adults,,,,Fatick
Zwetyenga  (1998),West Africa,Senegal,0,N,1,1,36,24,0.666666667,36,12,0.333333333,Old,0-15,0-5,0-5,,,,
Zwetyenga  (1998),West Africa,Senegal,0,N,1,1,41,27,0.658536585,41,17,0.414634146,Old,15+,15+,15+,,,,
Toma (2001),Asia,Lao PDR,2,N,,,143,77,0.538461538,143,46,0.32167832,Old,,,children & adults,,,,
Toma (2001),Asia,Lao PDR,2,N,,,193,20,0.103626943,193,7,0.03626943,Old,,,children & adults,,,,
Mehlotra  (2002),Oceania,Papua New Guinea,2,N,,,340,179,0.526470588,1759,352,0.2001137,Old,,,children & adults,,,,
Mehlotra (2002),Oceania,Papua New Guinea,2,N,,,330,195,0.590909091,972,217,0.22325103,Old,,,children & adults,,,,
Owusu-Agyei (2002),West Africa,Ghana,1,N,1,1,308,252,0.818181818,308,217,0.70454545,Old,,,children & adults,,,,Upper East Region
Owusu-Agyei (2002),West Africa,Ghana,0,N,1,1,99,80,0.808080808,99,74,0.747474747,Old,0-15,0-5,0-5,,,,
Owusu-Agyei (2002),West Africa,Ghana,0,N,1,1,119,86,0.722689076,119,70,0.588235294,Old,15+,15+,15+,,,,
Felger (1995),Oceania,Papua New Guinea,2,N,,,304,144,0.473684211,304,75,0.24671053,Old,,,children & adults,,,,
Snounou (1993),West Africa,Guinea Bissau,2,N,1,1,110,90,0.818181818,110,28,0.25454545,Old,,,children & adults,,,,Biombo/Bissau
Snounou (1993),West Africa,Guinea Bissau,2,N,1,1,79,69,0.873417722,79,38,0.48101266,Old,,,children & adults,,,,Biombo/Bissau
Ntoumi (1995),West Africa,Senegal,2,N,1,1,65,50,0.769230769,65,50,0.76923077,Old,,,children & adults,,,,Fatick
Marques (2005),East Africa,Mozambique,2,N,1,1,70,50,0.714285714,70,43,0.61428571,Old,,,children & adults,,,,Maputo
Marques (2005),East Africa,Mozambique,2,N,1,1,70,55,0.785714286,70,43,0.61428571,Old,,,children & adults,,,,Maputo
Marques (2005),East Africa,Mozambique,2,N,1,1,81,73,0.901234568,81,53,0.65432099,Old,,,children & adults,,,,Maputo
Marques (2005),East Africa,Mozambique,2,N,1,1,87,79,0.908045977,87,66,0.75862069,Old,,,children & adults,,,,Maputo
Khaminsou (2007),Asia,Lao PDR,2,N,,,130,18,0.138461538,130,12,0.09230769,Old,,,children & adults,,,,
Khaminsou (2007),Asia,Lao PDR,2,N,,,130,32,0.246153846,130,22,0.16923077,Old,,,children & adults,,,,
Nsobya (2004),East Africa,Uganda,2,N,1,1,316,114,0.360759494,316,55,0.17405063,Old,0-15,,children only,,,,Kampala
Touré (2006),West Africa,Gabon,2,N,1,1,278,58,0.208633094,278,20,0.07194245,Old,15+,,adults only,,,,Ogooue-lolo
Guerra-Neira (2006),West Africa,Equatorial Guinea,2,N,1,1,36,24,0.666666667,36,18,0.5,Old,0-15,,children only,,,,"Bioko Norte- weird collection of 0s in the MAP data, have done 1 and 1 but could be 0 and 1."
Guerra-Neira (2006),West Africa,Equatorial Guinea,2,N,1,1,35,22,0.628571429,35,14,0.4,Old,0-15,,children only,,,,"Bioko Norte- weird collection of 0s in the MAP data, have done 1 and 1 but could be 0 and 1."
Guerra-Neira (2006),West Africa,Equatorial Guinea,2,N,1,1,81,50,0.617283951,81,40,0.49382716,Old,0-15,,children only,,,,"Bioko Sur- weird collection of 0s in the MAP data, have done 1 and 1 but could be 0 and 1."
Silue (2006),West Africa,Cote d'Ivoire,2,N,1,1,424,356,0.839622642,424,232,0.54716981,Old,0-15,,children only,,,,Lagunes
Kobbe (2006),West Africa,Ghana,2,N,1,1,962,175,0.181912682,1069,158,0.14780168,Old,0-15,,children only,,,,Ashanti
Paganotti (2006),West Africa,Burkina Faso,2,N,,,92,89,0.967391304,92,76,0.82608696,Old,0-15,,children only,,,,Est
Paganotti (2006),West Africa,Burkina Faso,2,N,,,58,56,0.965517241,58,51,0.87931034,Old,0-15,,children only,,,,Est
Mayor (2003),East Africa,Mozambique,2,N,1,1,178,76,0.426966292,249,34,0.13654618,Old,15+,,adults only,,,,Maputo
Mayor (2003),East Africa,Mozambique,2,N,1,1,310,135,0.435483871,625,154,0.2464,Old,0-15,,children only,,,,Maputo
Vafa (2008),West Africa,Senegal,2,N,1,1,372,164,0.440860215,372,130,0.34946237,Old,0-15,,children only,,,,Fatick
Vafa (2008),West Africa,Senegal,2,N,1,1,372,190,0.510752688,372,130,0.34946237,Old,0-15,,children only,,,,Fatick
Wataya (1993),Oceania,Solomon Islands,2,N,,,98,8,0.081632653,98,8,0.08163265,Old,,,children & adults,,,,
Dal-Bianco (2007),West Africa,Gabon,2,N,0,1,470,244,0.519148936,493,57,0.11561866,Old,15+,,adults only,,,,Moyen-Ogooué
Peyerl-Hoffman (2001),West Africa,Uganda,2,N,1,1,406,225,0.554187192,406,140,0.34482759,Old,,,children & adults,,,,Tororo
Cerutti (2007),South America,Brazil,2,Y,,,1527,10,0.006548788,1777,0.00E+00,0,Old,,,children & adults,,,,
Dent (2007),West Africa,Kenya,2,N,1,1,201,141,0.701492537,201,117,0.58208955,Old,,,children & adults,,,,Nyanza
Mueller (2009),Oceania,Papua New Guinea,1,N,,,203,71,0.349753695,203,45,0.22167488,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,153,76,0.496732026,153,45,0.29411765,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,133,65,0.488721805,133,41,0.30827068,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,145,72,0.496551724,145,31,0.2137931,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,172,101,0.587209302,172,58,0.3372093,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,174,91,0.522988506,174,57,0.32758621,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,163,82,0.503067485,163,38,0.23312883,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,174,102,0.586206897,174,49,0.2816092,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,184,88,0.47826087,184,61,0.33152174,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,166,101,0.608433735,166,48,0.28915663,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,174,95,0.545977011,174,57,0.32758621,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,175,117,0.668571429,175,75,0.42857143,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,188,148,0.787234043,188,85,0.45212766,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,148,83,0.560810811,148,23,0.15540541,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,1,N,,,175,95,0.542857143,175,43,0.24571429,Old,,,children & adults,,,,
Mueller (2009),Oceania,Papua New Guinea,0,N,,,426,135,0.316901408,426,73,0.171361502,Old,0-15,0-5,0-5,,,,
Mueller (2009),Oceania,Papua New Guinea,0,N,,,237,170,0.717299578,237,107,0.451476793,Old,0-15,5-15years,5-15years,,,,
Mueller (2009),Oceania,Papua New Guinea,0,N,,,937,559,0.596584845,937,202,0.215581644,Old,15+,15+,15+,,,,
Andrade (2009),South America,Brazil,2,N,,,233,8,0.034334764,275,4,0.01454545,Old,,,children & adults,,,,
Andrade (2009),South America,Brazil,2,N,,,277,20,0.072202166,286,2,0.00699301,Old,,,children & adults,,,,
Andrade (2009),South America,Brazil,2,N,,,47,5,0.106382979,47,1,0.0212766,Old,,,children & adults,,,,
Andrade (2009),South America,Brazil,2,N,,,320,11,0.034375,321,4,0.01246106,Old,,,children & adults,,,,
Andrade (2009),South America,Brazil,2,Y,,,165,1,0.006060606,166,0,0,Old,,,children & adults,,,,
Rosanas-Urgell (2010),Oceania,Papua New Guinea,2,N,,,452,198,0.438053097,452,115,0.25442478,Old,0-15,,children only,,,,
Satoguina (2009),West Africa,Gambia,1,N,0,1,841,219,0.260404281,934,97,0.10385439,Old,,,children & adults,,,,Upper River
Satoguina (2009),West Africa,Gambia,1,N,0,1,689,185,0.26850508,729,82,0.11248285,Old,,,children & adults,,,,North Bank Division
Satoguina (2009),West Africa,Guinea Bissau,1,N,0,1,818,194,0.237163814,834,33,0.03956835,Old,,,children & adults,,,,Cacheu
Satoguina (2009),West Africa,Gambia,0,N,0,1,510,101,0.198039216,510,44,0.08627451,Old,0-15,0-5,0-5,,,,
Satoguina (2009),West Africa,Gambia,0,N,0,1,881,265,0.300794552,881,117,0.132803632,Old,0-15,5-15years,5-15years,,,,
Satoguina (2009),West Africa,Guinea Bissau,0,N,0,1,1188,294,0.247474747,1188,74,0.062289562,Old,15+,15+,15+,,,,
Lin (2010),Oceania,Papua New Guinea,2,N,,,264,131,0.496212121,264,86,0.32575758,Old,0-15,,children only,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,204,136,0.666666667,204,75,0.36764706,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,205,115,0.56097561,205,68,0.33170732,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,209,126,0.602870813,209,48,0.22966507,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,202,119,0.589108911,202,53,0.26237624,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,141,55,0.390070922,141,20,0.14184397,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,143,88,0.615384615,143,49,0.34265734,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,118,80,0.677966102,118,31,0.26271186,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,1,N,,,134,87,0.649253731,134,38,0.28358209,Old,,,children & adults,,,,
Steenkeste (2010),Asia,Cambodia,0,N,,,266,153,0.57518797,266,107,0.402255639,Old,0-15,0-5,0-5,,,,
Steenkeste (2010),Asia,Cambodia,0,N,,,134,98,0.731343284,134,45,0.335820896,Old,0-15,5-15years,5-15years,,,,
Steenkeste (2010),Asia,Cambodia,0,N,,,694,343,0.494236311,694,102,0.146974063,Old,15+,15+,15+,,,,
Katsuragawa (2010),South America,Brazil,2,N,,,205,4,0.019512195,205,1,0.00487805,Old,,,children & adults,,,,
da Silva (2010),South America,Brazil,2,N,,,386,35,0.090673575,388,6,0.01546392,Old,,,children & adults,,,,
da Silva (2010),South America,Brazil,2,N,,,379,33,0.08707124,378,6,0.01587302,Old,,,children & adults,,,,
da Silva (2010),South America,Brazil,2,Y,,,328,22,0.067073171,329,0,0,Old,,,children & adults,,,,
da Silva (2010),South America,Brazil,2,N,,,334,8,0.023952096,351,1,0.002849,Old,,,children & adults,,,,
Marfurt (2010),Oceania,Papua New Guinea,2,N,,,263,102,0.3878327,258,34,0.13178295,Old,,,children & adults,,,,
Marfurt (2010),Oceania,Papua New Guinea,2,N,,,347,71,0.204610951,346,64,0.1849711,Old,,,children & adults,,,,
Marfurt (2010),Oceania,Papua New Guinea,2,N,,,359,131,0.364902507,358,82,0.22905028,Old,,,children & adults,,,,
Marfurt (2010),Oceania,Papua New Guinea,2,N,,,317,129,0.406940063,314,55,0.17515924,Old,,,children & adults,,,,
Marfurt (2010),Oceania,Papua New Guinea,2,N,,,366,147,0.401639344,356,96,0.26966292,Old,,,children & adults,,,,
Marfurt (2010),Oceania,Papua New Guinea,2,N,,,359,115,0.320334262,358,82,0.22905028,Old,,,children & adults,,,,
Pacific Malaria Initiative Survey Group (2010),Oceania,Vanuatu,2,Y,,,413,2,0.004842615,413,0,0,Old,0-15,,children only,,,,
Liljander (2011),West Africa,Kenya,2,N,0,1,337,263,0.78041543,337,243,0.72106825,Old,0-15,,children only,,,,Coast
Liljander (2011),West Africa,Kenya,2,N,0,1,360,212,0.588888889,360,174,0.48333333,Old,0-15,,children only,,,,Coast
Gahutu (2011),East Africa,Rwanda,2,N,0,0,545,92,0.168807339,545,61,0.11192661,Old,0-15,,children only,,,,South/Amajyepfo
Steenkeste (2009),Asia,Cambodia,2,N,,,102,73,0.715686275,102,59,0.57843137,Old,,,children & adults,,,,
Steenkeste (2009),Asia,Cambodia,2,N,,,235,142,0.604255319,235,77,0.32765957,Old,,,children & adults,,,,
