Trans_Now,Trans_Hist,PCR_Tested,PCR_Positive,PCR_Prev,Micro_Tested,Micro_Positive,Micro_Prev,Density,Old_or_New
0,1,189,65,0.343915344,190,45,0.236842105,990,New
0,1,209,85,0.406698565,208,29,0.139423077,2300,New
0,1,322,15,0.046583851,357,8,0.022408964,360,New
0,1,300,16,0.053333333,300,14,0.046666667,3900,New
0,1,222,109,0.490990991,221,43,0.194570136,2700,New
0,1,161,35,0.217391304,205,7,0.034146341,1600,New
0,1,181,46,0.254143646,179,36,0.201117318,2300,New
0,1,401,21,0.052369077,401,10,0.024937656,2800,New
0,1,217,82,0.377880184,215,67,0.311627907,2100,New
0,0,369,32,0.086720867,460,14,0.030434783,990,New
0,1,244,21,0.086065574,251,27,0.107569721,22000,New
0,0,197,8,0.040609137,188,7,0.037234043,39000,New
0,1,250,9,0.036,250,1,0.004,8,New
0,0,204,4,0.019607843,204,1,0.004901961,720,New
0,0,382,16,0.041884817,378,3,0.007936508,130,New
0,1,217,45,0.207373272,217,48,0.221198157,960,New
0,1,237,27,0.113924051,245,4,0.016326531,15000,New
0,1,230,78,0.339130435,230,3,0.013043478,11000,New
0,1,227,28,0.123348018,229,3,0.013100437,18000,New
0,1,225,39,0.173333333,226,20,0.088495575,15000,New
0,1,218,73,0.334862385,218,9,0.041284404,6200,New
0,1,135,60,0.444444444,58,5,0.086206897,660000,New
0,1,398,142,0.35678392,398,134,0.336683417,9800,New
0,1,206,45,0.218446602,207,8,0.038647343,18000,New
0,1,226,100,0.442477876,226,40,0.17699115,1000,New
0,1,247,2,0.008097166,250,2,0.008,1000,New
0,1,237,55,0.232067511,237,51,0.215189873,2500,New
0,1,189,17,0.08994709,201,2,0.009950249,57000,New
0,1,593,167,0.281618887,593,163,0.274873524,12000,New
0,1,211,75,0.355450237,219,71,0.324200913,1800,New
0,0,267,17,0.063670412,285,8,0.028070175,470,New
0,1,221,58,0.262443439,221,59,0.266968326,1100,New
0,1,223,112,0.502242152,224,8,0.035714286,3300,New
0,1,133,22,0.165413534,133,16,0.120300752,1800,New
0,1,254,104,0.409448819,254,83,0.326771654,2800,New
0,1,210,59,0.280952381,210,66,0.314285714,1500,New
0,0,195,29,0.148717949,198,1,0.005050505,13000,New
0,1,416,17,0.040865385,416,1,0.002403846,9400,New
0,1,205,61,0.297560976,205,62,0.302439024,1200,New
,,648,4,0.00617284,648,0,0,,New
0,1,200,115,0.575,200,16,0.08,,New
,,2303,319,0.13851498,2303,199,0.086409032,,New
,,547,20,0.036563071,547,2,0.003656307,,New
,,219,8,0.03652968,219,0,0,,New
0,0,257,15,0.058365759,257,0,0,,New
0,0,298,14,0.046979866,298,0,0,,New
0,0,555,29,0.052252252,555,0,0,,New
1,1,98,77,0.785714286,98,27,0.275510204,3150,New
1,1,94,41,0.436170213,99,20,0.202020202,1262,New
1,1,170,85,0.5,170,49,0.288235294,,New
1,1,170,50,0.294117647,170,38,0.223529412,,New
1,1,170,65,0.382352941,170,44,0.258823529,,New
1,1,170,66,0.388235294,170,10,0.058823529,,New
0,1,291,205,0.704467354,291,120,0.412371134,,New
1,1,267,110,0.411985019,267,2,0.007490637,,New
1,1,270,207,0.766666667,270,165,0.611111111,1.87,New
0,1,3307,525,0.158754158,3307,525,0.158754158,,New
0,1,1227,53,0.043194784,43,0,0,,New
0,1,1676,53,0.031622912,51,0,0,,New
0,1,1730,538,0.310982659,542,0,0,,New
0,1,1687,620,0.367516301,409,0,0,,New
,,1070,17,0.01588785,1070,1,0.000934579,,New
,,475,4,0.008421053,475,0,0,,New
,,7707,340,0.044115739,7707,143,0.018554561,,New
0,1,95,63,0.663157895,95,51,0.536842105,,New
1,1,545,368.9789123,0.677025527,901,356,0.395116537,360,New
1,1,547,443.6777778,0.811111111,999,452,0.452452452,680,New
1,1,655,271.3571429,0.414285714,910,255,0.28021978,160,New
1,1,700,303.9665971,0.434237996,958,258,0.269311065,200,New
0,0,490,45,0.091836735,490,16,0.032653061,25,New
1,1,198,100,0.505050505,197,51,0.258883249,,New
1,1,198,166,0.838383838,199,104,0.522613065,,New
0,1,139,52,0.374100719,139,9,0.064748201,,New
0,1,274,105,0.383211679,274,47,0.171532847,,New
0,1,161,7,0.043478261,157,5,0.031847134,,New
0,1,177,6,0.033898305,176,3,0.017045455,,New
0,1,184,11,0.059782609,184,9,0.048913043,,New
0,1,152,2,0.013157895,152,3,0.019736842,,New
0,1,170,8,0.047058824,170,1,0.005882353,,New
0,1,192,10,0.052083333,196,12,0.06122449,,New
0,1,185,23,0.124324324,182,15,0.082417582,,New
0,1,250,22,0.088,250,8,0.032,,New
0,1,328,42,0.12804878,328,36,0.109756098,,New
0,1,325,24,0.073846154,326,14,0.042944785,,New
0,1,382,41,0.107329843,381,24,0.062992126,,New
0,1,413,27,0.065375303,422,13,0.030805687,,New
0,1,362,27,0.074585635,353,6,0.016997167,,New
0,1,419,15,0.035799523,417,4,0.009592326,,New
0,1,433,33,0.076212471,434,19,0.043778802,,New
0,1,445,36,0.080898876,445,13,0.029213483,,New
0,1,436,17,0.038990826,444,6,0.013513514,,New
0,1,183,37,0.202185792,177,27,0.152542373,,New
0,1,192,26,0.135416667,190,20,0.105263158,,New
0,1,219,47,0.214611872,219,36,0.164383562,,New
0,1,229,22,0.096069869,229,23,0.100436681,,New
0,1,221,69,0.312217195,221,43,0.194570136,,New
0,1,220,35,0.159090909,220,29,0.131818182,,New
0,1,298,114,0.382550336,283,79,0.279151943,,New
0,1,372,117,0.314516129,349,60,0.171919771,,New
0,1,400,178,0.445,401,141,0.351620948,,New
0,1,372,106,0.284946237,372,76,0.204301075,,New
0,1,369,159,0.430894309,368,133,0.361413043,,New
0,1,427,129,0.302107728,427,85,0.199063232,,New
0,1,406,79,0.194581281,395,35,0.088607595,,New
0,1,464,68,0.146551724,461,22,0.047722343,,New
0,1,486,112,0.230452675,486,63,0.12962963,,New
0,1,455,71,0.156043956,480,33,0.06875,,New
0,1,453,133,0.293598234,451,70,0.155210643,,New
0,1,478,76,0.158995816,479,25,0.052192067,,New
0,1,163,11,0.067484663,159,14,0.088050314,,New
0,1,189,9,0.047619048,188,9,0.04787234,,New
0,1,187,19,0.101604278,189,16,0.084656085,,New
0,1,169,7,0.041420118,169,2,0.01183432,,New
0,1,161,17,0.105590062,161,11,0.068322981,,New
0,1,167,11,0.065868263,167,6,0.035928144,,New
0,1,215,63,0.293023256,207,44,0.212560386,,New
0,1,306,63,0.205882353,302,28,0.092715232,,New
0,1,375,93,0.248,385,69,0.179220779,,New
0,1,369,54,0.146341463,369,29,0.078590786,,New
0,1,355,68,0.191549296,355,40,0.112676056,,New
0,1,420,64,0.152380952,420,39,0.092857143,,New
0,1,398,44,0.110552764,388,30,0.077319588,,New
0,1,472,27,0.05720339,468,10,0.021367521,,New
0,1,465,43,0.092473118,479,21,0.043841336,,New
0,1,455,15,0.032967033,454,4,0.008810573,,New
0,1,444,64,0.144144144,444,35,0.078828829,,New
0,1,443,29,0.065462754,443,12,0.027088036,,New
,,212,85,0.400943396,212,34,0.160377358,,Old
,,214,66,0.308411215,214,32,0.14953271,,Old
,,79,10,0.126582278,79,2,0.025316456,,Old
,,79,15,0.189873418,79,4,0.050632911,,Old
,,79,19,0.240506329,79,8,0.101265823,,Old
,,73,14,0.191780822,73,0,0,,Old
,,123,13,0.105691057,123,10,0.081300813,,Old
,,267,25,0.093632959,267,17,0.063670412,,Old
,,273,16,0.058608059,273,8,0.029304029,,Old
,,152,9,0.059210526,152,2,0.013157895,,Old
,,228,33,0.144736842,228,18,0.078947368,,Old
,,301,251,0.833887043,301,220,0.73089701,,Old
,,201,185,0.92039801,201,162,0.805970149,,Old
,,164,16,0.097560976,175,4,0.022857143,,Old
,,142,25,0.176056338,142,2,0.014084507,,Old
,,125,2,0.016,125,0,0,,Old
,,128,58,0.453125,172,10,0.058139535,,Old
,,491,321,0.653767821,491,194,0.395112016,,Old
,,338,3,0.00887574,338,0,0,,Old
,,261,10,0.038314176,261,0,0,,Old
,,628,330,0.525477707,628,175,0.27866242,,Old
,,819,28,0.034188034,819,12,0.014652015,,Old
,,143,110,0.769230769,143,52,0.363636364,,Old
,,143,77,0.538461538,143,46,0.321678322,,Old
,,193,20,0.103626943,193,7,0.03626943,,Old
,,340,179,0.526470588,1759,352,0.200113701,,Old
,,330,195,0.590909091,972,217,0.223251029,,Old
,,308,252,0.818181818,308,217,0.704545455,,Old
,,304,144,0.473684211,304,75,0.246710526,,Old
,,110,90,0.818181818,110,28,0.254545455,,Old
,,79,69,0.873417722,79,38,0.481012658,,Old
,,65,50,0.769230769,65,50,0.769230769,,Old
,,70,50,0.714285714,70,43,0.614285714,,Old
,,70,55,0.785714286,70,43,0.614285714,,Old
,,81,73,0.901234568,81,53,0.654320988,,Old
,,87,79,0.908045977,87,66,0.75862069,,Old
,,130,18,0.138461538,130,12,0.092307692,,Old
,,130,32,0.246153846,130,22,0.169230769,,Old
,,316,114,0.360759494,316,55,0.174050633,,Old
,,278,58,0.208633094,278,20,0.071942446,,Old
,,36,24,0.666666667,36,18,0.5,,Old
,,35,22,0.628571429,35,14,0.4,,Old
,,81,50,0.617283951,81,40,0.49382716,,Old
,,424,356,0.839622642,424,232,0.547169811,,Old
,,962,175,0.181912682,1069,158,0.147801684,,Old
,,92,89,0.967391304,92,76,0.826086957,,Old
,,58,56,0.965517241,58,51,0.879310345,,Old
,,178,76,0.426966292,249,34,0.136546185,,Old
,,310,135,0.435483871,625,154,0.2464,,Old
